source,target,weight
4120,76583,0.380001918
4120,17897,0.360311149
4120,90435,0.301104409
4120,88512,0.35216237
4120,18865,0.361941125
4120,14933,0.321731947
4120,30269,0.305293723
4120,46372,0.385238951
4120,90291,0.334746828
4120,44162,0.345038746
4120,12987,0.496457444
4120,72280,0.24233178
4120,38793,0.413440741
4120,68790,0.372594808
4120,51604,0.366874388
17897,2248,0.514704688
17897,83752,0.31824117
17897,3376,0.353062812
17897,87827,0.332202812
17897,49679,0.381265813
17897,62493,0.387216908
17897,73598,0.131100452
17897,49558,0.491031629
17897,83076,0.431259808
17897,44162,0.169174368
17897,41063,0.384776947
17897,83029,0.375029478
17897,59597,0.284498402
17897,76613,0.329397854
17897,64709,0.324041812
17897,62316,0.562534167
17897,78312,0.13401335
17897,19180,0.537454506
17897,46764,0.379166218
17897,25448,0.387486057
17897,8141,0.399352171
17897,92521,0.425463659
17897,15622,0.226755537
17897,56108,0.225464144
17897,41428,0.306333467
17897,30493,0.330428209
17897,91618,0.398009091
17897,60306,0.420000009
17897,38321,0.353747867
17897,28969,0.320835322
17897,30269,0.536751479
17897,55662,0.358510194
17897,48,0.359013652
17897,76710,0.457044374
17897,63656,0.105910959
17897,46372,0.328227029
17897,72485,0.355139136
17897,72280,0.330417414
17897,37670,0.41540625
17897,2610,0.40446982
17897,18288,0.36246047
17897,54365,0.36302177
17897,11897,0.369026919
17897,31517,0.398474655
17897,85777,0.149673988
17897,79743,0.484880466
17897,48735,0.565072134
17897,53211,0.340381201
17897,24323,0.336909804
17897,45472,0.323977729
17897,83964,0.357338615
17897,24933,0.374832455
17897,39115,0.280212029
17897,83746,0.322058873
17897,19815,0.25317976
17897,51883,0.373301274
17897,10234,0.486268601
17897,24564,0.391644796
17897,72227,0.377483857
17897,89695,0.487375749
17897,79253,0.351604067
17897,49875,0.214747273
17897,1899,0.365972815
17897,70635,0.378025312
17897,38427,0.462158589
17897,93508,0.482889701
17897,38265,0.521201514
17897,62319,0.221238381
90435,21506,0.112589081
90435,52119,0.364720984
90435,74240,0.374911305
90435,72719,0.57260979
90435,10791,0.389262831
90435,28112,0.376112135
88512,66252,0.331400162
88512,38793,0.291681816
88512,83885,0.420236684
88512,78069,0.374834923
88512,61581,0.518994003
88512,1909,0.432783118
88512,51274,0.33923699
88512,84937,0.320332777
88512,90291,0.390207457
88512,16105,0.346125636
88512,37113,0.146738332
88512,7446,0.321637105
88512,8342,0.331635242
88512,51961,0.331962521
88512,21062,0.304439369
88512,53201,0.121282423
88512,27398,0.349133667
88512,21546,0.337554518
88512,82134,0.354088048
88512,59403,0.547850141
88512,66452,0.19882822
88512,45373,0.386912137
88512,91173,0.32867389
88512,8072,0.372828039
88512,30370,0.256958448
88512,28112,0.167067776
88512,11897,0.336467171
88512,58791,0.556465199
88512,36508,0.33035072
88512,2248,0.399604041
88512,75603,0.308898085
88512,72495,0.353333244
88512,9655,0.296346166
88512,40783,0.371332686
88512,59924,0.255263949
88512,77932,0.302591454
88512,52526,0.395496972
18865,66584,0.33284725
18865,2943,0.23765323
18865,25065,0.325186686
18865,26174,0.385044674
18865,22420,0.14186892
18865,92864,0.367809487
18865,32401,0.315301556
18865,39722,0.379903593
18865,82113,0.398965532
18865,43966,0.550805116
18865,65040,0.291178406
18865,68790,0.122462345
18865,76648,0.374719083
18865,6745,0.366998116
18865,42110,0.238494136
18865,10209,0.372262564
18865,31810,0.264311144
18865,35161,0.312829095
18865,77310,0.203887654
18865,18032,0.336411085
18865,75568,0.356371865
18865,65108,0.350776413
18865,48919,0.396266837
18865,24435,0.381469454
18865,76363,0.358057255
18865,13725,0.353177761
18865,3506,0.374371681
18865,32985,0.366864043
14933,63738,0.399049825
14933,31139,0.438078821
14933,88321,0.383463705
14933,42239,0.4895071
14933,51604,0.323425057
14933,57200,0.303642668
14933,68313,0.368370119
14933,36311,0.358508854
14933,12987,0.497947373
14933,73006,0.565050154
14933,91352,0.44299697
14933,25649,0.393378842
14933,48807,0.341609686
14933,56710,0.326523048
14933,79328,0.305949713
14933,27736,0.309229932
14933,55274,0.446170831
14933,65249,0.360504999
14933,767,0.376139194
60225,2248,0.505805129
60225,39813,0.394843175
60225,44162,0.312724606
60225,30370,0.33525865
60225,72347,0.15139026
60225,8575,0.307144421
60225,80461,0.278733375
60225,21062,0.383126138
60225,87937,0.354674722
60225,23372,0.320328445
60225,85047,0.312448904
60225,9379,0.338009855
60225,92851,0.373424176
60225,91315,0.362714478
60225,33957,0.527164309
60225,63237,0.315744403
60225,48564,0.391963939
60225,7575,0.574386329
60225,74578,0.359863321
2248,36029,0.330217792
2248,66452,0.50170944
2248,79545,0.52051534
2248,89953,0.227666068
2248,96,0.423947033
2248,74578,0.369854144
2248,47159,0.238669319
2248,45920,0.34274133
2248,58261,0.361395906
2248,67438,0.363552914
2248,71113,0.222449555
2248,1975,0.53973194
2248,45472,0.303257146
2248,33206,0.320409835
2248,21018,0.384664638
2248,56247,0.326284822
2248,80461,0.324032393
2248,7446,0.58495404
2248,72347,0.325909345
2248,83885,0.468311766
2248,81891,0.39041122
2248,79253,0.426293073
2248,62807,0.12894108
2248,33296,0.306419792
2248,58805,0.347286654
2248,57590,0.315619745
36029,83964,0.369673486
36029,30039,0.570433655
36029,17506,0.372164139
36029,74728,0.185470807
36029,7446,0.386486938
36029,14547,0.34023982
36029,62807,0.383595644
36029,91061,0.36216416
36029,21979,0.369994314
36029,27489,0.344157789
36029,75325,0.385302115
36029,91274,0.331477315
36029,78619,0.438357152
36029,20572,0.441458871
36029,41836,0.338942275
36029,45920,0.333572033
36029,83868,0.517770267
36029,55474,0.451323001
36029,61580,0.477584075
36029,25916,0.380039164
36029,80474,0.252140072
36029,58493,0.556324652
36029,53572,0.359106783
36029,58261,0.386948695
36029,80612,0.237234363
36029,64900,0.341157682
36029,93250,0.347288039
36029,31990,0.335709471
36029,74928,0.37078547
36029,91352,0.383630363
36029,62319,0.327060615
36029,27067,0.347846326
36029,54365,0.45447593
36029,23741,0.511420285
36029,38265,0.278317934
36029,15011,0.342824202
36029,76212,0.357580513
66452,67438,0.448498614
66452,25604,0.123675731
66452,47796,0.157832535
66452,51379,0.365061681
66452,58648,0.135433489
66452,83885,0.540562474
66452,24274,0.386937417
66452,33268,0.313545935
66452,84649,0.378415425
66452,12042,0.33137376
66452,45472,0.31484037
66452,56789,0.242434492
66452,81891,0.337676813
66452,28570,0.274089524
66452,90896,0.329540674
66452,77856,0.598406782
66452,25752,0.194009292
66452,66956,0.320581207
66452,28112,0.186530183
66452,82912,0.50541286
66452,59992,0.378727455
66452,70846,0.328804158
66452,29646,0.454589085
66452,79253,0.288581903
66452,30039,0.321263264
79545,44380,0.551823948
79545,36654,0.542523883
79545,59492,0.354624079
79545,74603,0.319495994
79545,52178,0.384606891
79545,23037,0.253504251
89953,62102,0.349315836
89953,78000,0.464131076
89953,33206,0.396378948
89953,86138,0.394900989
89953,73526,0.563853618
89953,62807,0.28976836
89953,21018,0.193199201
89953,8601,0.208522269
89953,39178,0.182362951
89953,62847,0.320170122
89953,9659,0.38828442
89953,46874,0.485284842
89953,24559,0.108279508
89953,54368,0.390551309
89953,71113,0.384285468
89953,10378,0.361985549
89953,33296,0.183477856
89953,51990,0.345926856
89953,37620,0.196914696
89953,58569,0.203235233
89953,92168,0.361186222
89953,49906,0.350401844
89953,45271,0.315025446
96,73079,0.422353774
96,77423,0.33978868
96,63781,0.494243724
96,37783,0.392198031
96,30365,0.178082175
74578,63905,0.380440628
74578,26174,0.283992029
74578,3410,0.376481865
74578,49334,0.356238511
74578,58684,0.52923507
47159,91356,0.340494151
47159,56247,0.533199974
47159,89210,0.560599002
47159,21900,0.326693263
47159,37165,0.350994987
47159,1975,0.350329668
47159,15537,0.387696696
47159,72347,0.287696925
83752,8072,0.507369982
83752,24933,0.368497066
83752,59636,0.399381986
83752,34712,0.304437814
3376,63738,0.346799495
3376,93337,0.554340367
87827,19026,0.391644369
87827,87034,0.129375279
87827,44980,0.145561657
87827,14086,0.366385199
87827,52592,0.399535603
87827,69666,0.343026951
87827,39115,0.520253929
87827,51535,0.33424173
87827,43774,0.378695471
87827,44969,0.353208263
87827,86729,0.545842508
87827,21229,0.319539019
87827,74728,0.32811841
87827,41751,0.312459751
87827,18259,0.466653528
87827,17183,0.342562221
87827,19736,0.302703481
49679,10234,0.328386883
73598,79743,0.325961308
73598,11048,0.382452246
73598,91315,0.359700194
73598,7082,0.307767546
73598,1899,0.349945353
73598,33759,0.300835398
49558,83964,0.301425626
49558,83667,0.417847217
49558,68912,0.394710253
49558,75603,0.336116036
49558,53552,0.151503765
49558,45151,0.269809786
49558,26975,0.37904017
49558,93647,0.359653747
49558,78377,0.351856323
49558,62847,0.307883521
44162,3113,0.443184341
44162,54222,0.328348554
44162,48405,0.315401522
44162,83887,0.364576854
44162,65524,0.33784198
44162,56247,0.554314855
44162,18288,0.142372507
44162,82139,0.360940373
44162,27833,0.149721163
44162,83944,0.277956251
44162,91708,0.319136849
44162,19347,0.335828351
44162,33174,0.523154347
44162,32399,0.344608987
44162,51391,0.363927522
44162,1899,0.369209504
44162,10625,0.24866162
44162,21714,0.321253404
44162,64215,0.375852534
44162,85694,0.432160764
44162,29232,0.358010483
44162,89055,0.359002349
44162,7575,0.537245062
44162,41902,0.393617673
44162,31714,0.322313722
44162,78000,0.325286844
41063,78000,0.318609501
41063,24564,0.323437728
41063,83746,0.396398405
83029,80587,0.362637068
83029,7446,0.329424598
83029,88600,0.388813511
83029,17192,0.212184304
83029,48081,0.538074612
83029,26784,0.35928241
83029,8286,0.388873949
83029,34328,0.554417444
83029,7575,0.384545016
59597,4943,0.442070393
59597,48735,0.329046112
76613,54365,0.425052557
76613,11897,0.390635675
76613,52696,0.347155845
76613,80893,0.300219552
76613,15537,0.409289699
76613,87471,0.366303599
62316,42022,0.249219607
62316,84943,0.383300878
62316,59538,0.393842082
62316,81698,0.358448925
62316,83964,0.360463704
78312,70635,0.375276697
78312,16241,0.334441233
78312,9655,0.297518273
78312,10655,0.332221933
78312,51959,0.304653693
78312,352,0.260998254
78312,53572,0.566349488
78312,19892,0.361686135
78312,50197,0.148450269
78312,31517,0.321428474
78312,89218,0.321682475
78312,53211,0.305014403
78312,30182,0.322475118
78312,7345,0.568209607
78312,4588,0.109477803
78312,5611,0.334807723
78312,88101,0.127544547
78312,84490,0.391833212
78312,62102,0.344790578
25448,83746,0.345599795
25448,68898,0.310359391
25448,50441,0.34890723
8141,51883,0.506563363
8141,72227,0.522874363
8141,46372,0.344637873
8141,10479,0.220631307
8141,35940,0.274298481
92521,81960,0.379428153
15622,84937,0.301275166
56108,14926,0.594332267
41428,38427,0.341056874
41428,49921,0.304941111
41428,10049,0.198973897
41428,5851,0.220344739
41428,70636,0.549428354
30493,89456,0.366095402
30493,64449,0.382903196
30493,82596,0.383119058
30493,53615,0.400269562
91618,11897,0.565426726
91618,83964,0.392586875
28969,83964,0.365423784
28969,10791,0.301810396
28969,73736,0.135275472
28969,84230,0.389939063
28969,9787,0.326949219
28969,54080,0.261353563
30269,73937,0.303601819
30269,66487,0.343569512
30269,6976,0.386011691
55662,10209,0.418658926
55662,11142,0.467985265
55662,24323,0.35395242
55662,89695,0.358109794
55662,49875,0.578298649
48,19815,0.376163131
48,45472,0.246849875
48,42481,0.109036788
48,63905,0.369046296
76710,66584,0.391608479
76710,27777,0.379245468
63656,81048,0.370732815
63656,49415,0.542476012
46372,37115,0.231406124
46372,44219,0.312690507
46372,85777,0.31623531
46372,51883,0.31181588
46372,21998,0.135602183
46372,6629,0.399087113
46372,57590,0.334840137
72485,42928,0.354996688
2610,93508,0.379447297
2610,44962,0.308810686
62071,76363,0.395030994
62071,83592,0.324844978
62071,35135,0.471792143
62071,79716,0.365408235
62071,82139,0.33193526
62071,5803,0.314947726
62071,33296,0.272520625
62071,17923,0.387663313
62071,6144,0.249284035
62071,84553,0.339886225
62071,69290,0.372044026
62071,58878,0.354338977
62071,63063,0.495644073
62071,25756,0.360261438
62071,25065,0.333803069
62071,7255,0.533910359
62071,51379,0.355534653
62071,15011,0.397832322
62071,40137,0.395287299
62071,7575,0.195787402
62071,80201,0.365749648
